origin_node,destination_node,route,route_distance,tiempo_estimado,tiempo_real,diferencia
306292511,252418391,"[306292511, 306292509, 306292506, 429289615, 429217623, 429217710, 254093456, 306293469, 306305372, 429219105, 306294459, 1514664850, 1514664848, 296372150, 288666577, 250909108, 252416935, 250916697, 252418386, 256817091, 252415997, 9212467116, 9212427270, 252418391]",1804.1760182834178,134.68770036947961,461,326.3122996305204
295408368,2390153680,"[295408368, 295407587, 297720062, 451675799, 295407671, 1359738971, 297719632, 259643392, 295407490, 295407435, 295407414, 295407437, 295407416, 295409839, 1115656282, 259642456, 259642357, 259642483, 1089848817, 297981847, 297981853, 331099821, 331100320, 259277220, 259277222, 259277224, 2390153680]",1627.1232366222514,95.1941006102155,260,164.80589938978449
2390153680,309055380,"[2390153680, 259264818, 331101298, 331102480, 297986432, 297986629, 297988149, 297987283, 297987290, 1172959596, 297984537, 297980077, 10925853986, 10925853987, 10925853964, 1172959565, 10925853988, 448944115, 297980375, 1172959085, 299819281, 448944112, 299823726, 259642002, 1115656267, 1115656315, 259641976, 259641973, 903972333, 259289248, 2216431535, 259289245, 259295144, 259288526, 259288527, 259288528, 820606403, 259288530, 820606395, 259288141, 259611228, 259611361, 903975385, 1316476511, 309055380]",2249.542842798216,137.54915260257818,489,351.45084739742185
309055380,309055380,[309055380],0.0,0.0,10,10.0
309055380,250556547,"[309055380, 259288126, 12909718828, 903975399, 259287809, 259609558, 259290083, 1104384693, 259609758, 259610321, 2215316184, 259290516, 259291470, 259291741, 259283661, 3149967407, 259282290, 745446843, 291638484, 259282278, 1300215130, 1303837848, 259282269, 1809491650, 280135546, 745474324, 1300215131, 745474369, 280135525, 280135526, 280135527, 280135520, 280135482, 1191808033, 32641664, 12211377639, 1396502529, 1117936401, 599171720, 295811357, 279123232, 279123692, 1086128537, 293813046, 279123911, 1716354044, 1086128541, 195385303, 153325472, 9568670342, 11414368245, 130655109, 153311778, 153266935, 153260596, 1334521489, 1334521473, 153254089, 153591816, 139106561, 153591713, 1334528595, 246677431, 300940253, 246677428, 650380920, 153566580, 130663005, 83656610, 13037963919, 246677438, 250556538, 246677444, 250556547]",5043.341018002333,368.43552675247935,1200,831.5644732475207
250556547,300940351,"[250556547, 250556459, 250556538, 246677438, 246677442, 1217431741, 1217431710, 2009724753, 246677430, 246677435, 246677429, 83660660, 246677432, 246677431, 300940253, 300940159, 153566609, 300940351]",936.0794340287956,94.99950895124933,201,106.00049104875067
300940351,279600783,"[300940351, 224633007, 153566580, 130663005, 83656610, 13037963919, 246677438, 250556538, 246677444, 246677447, 250556582, 243640585, 243639224, 250554353, 243639457, 122549626, 7486735093, 279600783]",1099.1926142482555,151.82523182683352,531,379.1747681731665
246065461,246127039,"[246065461, 246065462, 246068406, 246064632, 246072996, 1771529495, 5261583007, 11861853804, 7634697141, 246123374, 828145429, 246124840, 246125639, 246073278, 246073277, 246128214, 245962611, 246128282, 246127037, 1211777523, 246127039]",1199.895757421137,76.75307709409924,230,153.24692290590076
246128283,246071850,"[246128283, 256639224, 469543601, 1227704803, 246063924, 93810181, 246073107, 93810182, 12452733886, 93810183, 1227705033, 1227704794, 1351168627, 93810184, 294039308, 246071850]",1059.0081133605822,81.7075082651361,280,198.29249173486392
246071850,259199183,"[246071850, 294039452, 281205436, 496332074, 496332077, 294039222, 496964125, 246070458, 246065458, 246065461, 246065462, 246067452, 246065117, 246113004, 246067530, 246073526, 246073528, 261719505, 93810167, 566506492, 267187664, 261648725, 256170309, 261648716, 256171270, 2312124650, 261648717, 1140116637, 255123274, 255123266, 256170299, 246163338, 256170296, 261731994, 122571136, 251892981, 26619081, 252712466, 9411254631, 270522053, 26619712, 26619713, 257751155, 257752683, 257752686, 25643607, 270197928, 25643610, 25643620, 1243130446, 25643633, 258995599, 503717915, 25643643, 315110325, 25643645, 1090524803, 315110498, 1950489919, 1119303992, 257906447, 1227755666, 257906445, 327792502, 296391630, 257904934, 1227755671, 1227755673, 315115446, 317341871, 292463612, 259198993, 259199103, 259199182, 267941856, 9568295885, 292462662, 9568295893, 309674410, 259199183]",5230.881062997222,358.6065824667116,1330,971.3934175332884
